Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
2,2025,270,38
2,2025,280,41
2,2025,290,42
2,2025,300,42
2,2025,310,42
2,2025,320,43
2,2025,330,43
2,2025,340,43
2,2025,350,44
2,2025,360,45
2,2025,370,46
2,2025,380,47
2,2025,390,47
2,2025,400,49
1,2025,10,0
1,2025,20,4
1,2025,30,7
1,2025,40,10
1,2025,50,12
1,2025,60,13
1,2025,70,17
1,2025,80,19
1,2025,90,20
1,2025,100,21
1,2025,110,21
1,2025,120,22
1,2025,130,23
1,2025,140,25
1,2025,150,27
1,2025,160,29
1,2025,170,32
1,2025,180,32
1,2025,190,32
1,2025,200,34
1,2025,210,34
1,2025,220,34
1,2025,230,36
1,2025,240,36
1,2025,250,37
1,2025,260,37
1,2025,270,38
1,2025,280,40
1,2025,290,41
1,2025,300,42
1,2025,310,43
1,2025,320,45
1,2025,330,46
1,2025,340,49
1,2025,350,49
1,2025,360,50
1,2025,370,51
1,2025,380,54
1,2025,390,56
1,2025,400,56
